"sigla","fonte","camada","id_na_fonte","nome_na_fonte","status","professor","observacao"
"ADMPUB","Bezerra","plataforma","","Administração Pública","ok","",""
"AUDIT","Bezerra","plataforma","","Auditoria","ok","",""
"CONTAB","Bezerra","plataforma","","Contabilidade Geral e Avançada","ok","",""
"CONTPU","Bezerra","plataforma","","Contabilidade Pública","ok","",""
"CUSTOS","Bezerra","plataforma","","Contabilidade de Custos","ok","",""
"DADM","Bezerra","plataforma","","Direito Administrativo","ok","",""
"DCIVIL","Bezerra","plataforma","","Direito Civil","ok","",""
"DCONST","Bezerra","plataforma","","Direito Constitucional","ok","",""
"DEMPRE","Bezerra","plataforma","","Direito Empresarial","ok","",""
"DPENAL","Bezerra","plataforma","","Direito Penal","ok","",""
"DTRIB","Bezerra","plataforma","","Direito Tributário","ok","",""
"ECOFIN","Bezerra","plataforma","","Economia e Finanças Públicas","ok","",""
"ESTAT","Bezerra","plataforma","","Estatística","ok","",""
"TECINF","Bezerra","plataforma","","Informática","ok","","o Bezerra tambem separa Informatica de Tecnologia da Informacao"
"","Bezerra","plataforma","","Legislação Tributária Estadual","local","",""
"","Bezerra","plataforma","","Legislação Tributária Municipal","local","",""
"MATFIN","Bezerra","plataforma","","Matemática Financeira","ok","",""
"PORT","Bezerra","plataforma","","Português","ok","",""
"","Bezerra","plataforma","","RFB - Administração Financeira","fora_escopo","",""
"","Bezerra","plataforma","","RFB - Comércio Internacional","fora_escopo","",""
"","Bezerra","plataforma","","RFB - Direito Previdenciário","fora_escopo","",""
"","Bezerra","plataforma","","RFB - Inglês","fora_escopo","",""
"","Bezerra","plataforma","","RFB - Legislação Tributária Federal","fora_escopo","",""
"","Bezerra","plataforma","","RFB - Legislação aduaneira","fora_escopo","",""
"RACLOG","Bezerra","plataforma","","Raciocínio Lógico","ok","",""
"REFTRI","Bezerra","plataforma","","Reforma Tributária","ok","",""
"TECINF","Bezerra","plataforma","","Tecnologia da Informação","ok","",""
"","Tec","plataforma","147","Administração de Recursos Materiais","fora_escopo","",""
"ADMPUB","Tec","plataforma","14","Administração Geral e Pública","ok","","o Tec junta Administracao Geral e Publica numa materia so"
"AFO","Tec","plataforma","69","AFO, Direito Financeiro e Contabilidade Pública","ok","","UMA materia do Tec para DUAS nossas: AFO + Contabilidade Publica + Direito Financeiro"
"CONTPU","Tec","plataforma","69","AFO, Direito Financeiro e Contabilidade Pública","ok","","UMA materia do Tec para DUAS nossas: AFO + Contabilidade Publica + Direito Financeiro"
"","Tec","plataforma","58","Análise das Demonstrações Contábeis","olho","",""
"","Tec","plataforma","170","Antropologia","fora_escopo","",""
"","Tec","plataforma","171","Arqueologia","fora_escopo","",""
"","Tec","plataforma","109","Arquitetura","fora_escopo","",""
"","Tec","plataforma","16","Arquivologia","fora_escopo","",""
"","Tec","plataforma","207","Artes e Música","fora_escopo","",""
"","Tec","plataforma","17","Atualidades e Conhecimentos Gerais","fora_escopo","",""
"AUDIT","Tec","plataforma","37","Auditoria Governamental e Controle","ok","","UMA materia do Tec para DUAS nossas: Auditoria Governamental + Controle"
"CTREXT","Tec","plataforma","37","Auditoria Governamental e Controle","ok","","UMA materia do Tec para DUAS nossas: Auditoria Governamental + Controle"
"AUDIT","Tec","plataforma","29","Auditoria Privada","ok","","auditoria privada; a nossa AUDIT absorve as duas (A8)"
"","Tec","plataforma","195","Bancos - Atendimento, Vendas, História, etc.","fora_escopo","",""
"","Tec","plataforma","39","Biblioteconomia","fora_escopo","",""
"","Tec","plataforma","126","Biologia e Biomedicina","fora_escopo","",""
"","Tec","plataforma","87","Ciências Atuariais (Atuária)","fora_escopo","",""
"","Tec","plataforma","103","Ciências Políticas","fora_escopo","",""
"","Tec","plataforma","80","Ciências Sociais","fora_escopo","",""
"","Tec","plataforma","77","Comunicação Social","fora_escopo","",""
"CUSTOS","Tec","plataforma","38","Contabilidade de Custos","ok","",""
"","Tec","plataforma","90","Contabilidade de Instituições Financeiras e Atuariais","fora_escopo","",""
"CONTAB","Tec","plataforma","21","Contabilidade Geral","ok","",""
"","Tec","plataforma","188","Criminalística e Medicina Legal","fora_escopo","",""
"","Tec","plataforma","220","Criminologia","fora_escopo","",""
"","Tec","plataforma","184","Defesa Civil","fora_escopo","",""
"","Tec","plataforma","219","Desenho Técnico e Modelagem da Construção","fora_escopo","",""
"","Tec","plataforma","127","Design e Artes Gráficas","fora_escopo","",""
"DADM","Tec","plataforma","1","Direito Administrativo (Doutrina e Leis Federais)","ok","","a materia principal de DADM no Tec"
"","Tec","plataforma","228","Direito Administrativo Estadual e do DF","local","",""
"","Tec","plataforma","224","Direito Administrativo Municipal","local","",""
"","Tec","plataforma","93","Direito Agrário","fora_escopo","",""
"","Tec","plataforma","30","Direito Ambiental","fora_escopo","",""
"DCIVIL","Tec","plataforma","6","Direito Civil","ok","",""
"DCONST","Tec","plataforma","2","Direito Constitucional (CF/1988 e Doutrina)","ok","",""
"","Tec","plataforma","226","Direito Constitucional Estadual e Distrital","local","",""
"","Tec","plataforma","111","Direito Constitucional Municipal","local","",""
"","Tec","plataforma","98","Direito Cultural, Desportivo e da Comunicação","fora_escopo","",""
"","Tec","plataforma","165","Direito da Criança e do Adolescente","fora_escopo","",""
"","Tec","plataforma","66","Direito Digital","fora_escopo","",""
"","Tec","plataforma","196","Direito do Consumidor","fora_escopo","",""
"","Tec","plataforma","10","Direito do Trabalho","fora_escopo","",""
"","Tec","plataforma","92","Direito Econômico","fora_escopo","",""
"","Tec","plataforma","173","Direito Educacional","fora_escopo","",""
"","Tec","plataforma","12","Direito Eleitoral","fora_escopo","",""
"DEMPRE","Tec","plataforma","28","Direito Empresarial (Comercial)","ok","",""
"","Tec","plataforma","27","Direito Internacional Público e Privado","fora_escopo","",""
"","Tec","plataforma","205","Direito Marítimo, Portuário e Aeronáutico","fora_escopo","",""
"","Tec","plataforma","194","Direito Notarial e Registral","fora_escopo","",""
"DPENAL","Tec","plataforma","7","Direito Penal","ok","",""
"","Tec","plataforma","191","Direito Penal Militar","fora_escopo","",""
"","Tec","plataforma","22","Direito Previdenciário","fora_escopo","",""
"","Tec","plataforma","213","Direito Processual Civil","fora_escopo","",""
"","Tec","plataforma","19","Direito Processual do Trabalho","fora_escopo","",""
"","Tec","plataforma","11","Direito Processual Penal","fora_escopo","",""
"","Tec","plataforma","192","Direito Processual Penal Militar","fora_escopo","",""
"","Tec","plataforma","106","Direito Sanitário e Saúde","fora_escopo","",""
"","Tec","plataforma","183","Direitos Humanos","fora_escopo","",""
"DTRIB","Tec","plataforma","18","Direito Tributário","ok","",""
"","Tec","plataforma","174","Direito Urbanístico","fora_escopo","",""
"ECOFIN","Tec","plataforma","33","Economia e Finanças Públicas","ok","",""
"","Tec","plataforma","110","Educação Física","fora_escopo","",""
"","Tec","plataforma","115","Enfermagem","fora_escopo","",""
"","Tec","plataforma","129","Engenharia Aeronáutica","fora_escopo","",""
"","Tec","plataforma","94","Engenharia Agronômica e Agrícola","fora_escopo","",""
"","Tec","plataforma","102","Engenharia Ambiental, Florestal e Sanitária","fora_escopo","",""
"","Tec","plataforma","144","Engenharia Cartográfica e de Agrimensura","fora_escopo","",""
"","Tec","plataforma","43","Engenharia Civil e Auditoria de Obras","fora_escopo","",""
"","Tec","plataforma","202","Engenharia de Produção","fora_escopo","",""
"","Tec","plataforma","44","Engenharia Elétrica e Eletrônica","fora_escopo","",""
"","Tec","plataforma","45","Engenharia Mecânica","fora_escopo","",""
"","Tec","plataforma","206","Engenharia Naval","fora_escopo","",""
"ESTAT","Tec","plataforma","61","Estatística","ok","",""
"","Tec","plataforma","193","Ética no Serviço Público","olho","",""
"","Tec","plataforma","128","Farmácia","fora_escopo","",""
"","Tec","plataforma","132","Filosofia e Teologia","fora_escopo","",""
"","Tec","plataforma","121","Finanças e Conhecimentos Bancários","fora_escopo","",""
"","Tec","plataforma","123","Física","fora_escopo","",""
"","Tec","plataforma","198","Fisioterapia","fora_escopo","",""
"","Tec","plataforma","215","Fonoaudiologia","fora_escopo","",""
"","Tec","plataforma","100","Geografia","fora_escopo","",""
"","Tec","plataforma","145","Geologia e Engenharia de Minas","fora_escopo","",""
"","Tec","plataforma","135","Gestão de Projetos (PMBOK)","fora_escopo","",""
"","Tec","plataforma","99","História","fora_escopo","",""
"TECINF","Tec","plataforma","4","Informática","ok","","Informatica; o Tec separa do bloco TI -"
