"materia_id","materia_nome","sigla","assunto_id","hierarquia","nivel","nome"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17406","10.14.02.01","4","Do Conselho Administrativo Tributário - CAT (arts. 54 a 61 da Lei Estadual nº 16.469/2009)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14207","14.09.09","3","Do Conselho de Contribuintes (arts. 172 a 188 do RPTA-MG)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14941","17.04.03.01","4","Do Conselho de Contribuintes e Recursos Fiscais - CCRF (arts. 65 a 80 da Lei nº 18.877/2016)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14803","17.04.03","3","Do Conselho de Contribuintes e Recursos Fiscais e da Representação Fiscal (arts. 65 a 83 da Lei nº 18.877/2016)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14206","14.09.08","3","Do Contencioso Administrativo Fiscal (arts. 106 a 171 do RPTA-MG)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12129","24.03.01","3","Do Contencioso Administrativo Fiscal do Estado (arts. 1º a 26 da Lei Estadual nº 72/1994)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14168","14.03.05","3","Do Contribuinte (art. 12 da Lei Estadual nº 14.941/2003)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17677","25.12.02.01","4","Do Contribuinte (art. 7º da Lei Estadual nº 6.374/1989)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14178","14.07.06","3","Do Contribuinte, do Responsável e a sua Obrigação (arts. 12 a 15 do RIPVA-MG)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","10336","27.07.06","3","Do Contribuinte e do Responsável (arts. 10 e 11 da Lei Estadual nº 7.655/2013)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12028","15.42.03","3","Do Contribuinte e do Responsável (arts. 13 e 14 do RIPVA-PA)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17706","25.16.02","3","Do Contribuinte e do Responsável (arts. 5º e 6º da Lei Estadual nº 13.296/2008)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14582","17.02.04","3","Do Contribuinte e do Responsável (arts. 5º e 6º da Lei Estadual nº 14.260/2003)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14190","14.08.06","3","Do Contribuinte e do Responsável (arts. 8º a 10 do RITCD-MG)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","13306","17.01.14","3","Do Controle e da Orientação Fiscal (arts. 47 a 53 da Lei Estadual nº 11.580/1996)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12171","26.09.10","3","Do Controle e Fiscalização do Imposto (arts. 68 a 78-A do RICMS-SC)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17135","19.20.02.01","4","Do Corpo de Julgadores (arts. 121 a 124 do Decreto Estadual nº 18.561/2019)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11815","05.06.05","3","Do Crédito do Imposto (arts. 20 a 36 do RICMS-AM)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17261","10.12.02.04","4","Do Crédito Tributário (arts. 157 a 198-C da Lei Estadual nº 11.651/1991)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17487","08.01.05","3","Do Crédito Tributário (arts. 25 a 36 da LCDF nº 04/1994)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14205","14.09.07","3","Do Crédito Tributário (arts. 66 a 105 do RPTA-MG)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17117","19.21.09","3","Do Crédito Tributário do Estado (arts. 120 a 127 do RICMS/PI)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11884","07.09.04","3","Do Critério Espacial (arts. 24 a 26 da Lei Estadual nº 18.665/2023)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11885","07.09.05","3","Do Critério Pessoal (arts. 27 a 43 da Lei Estadual nº 18.665/2023)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11886","07.09.06","3","Do Critério Quantitativo (arts. 44 a 66 da Lei Estadual nº 18.665/2023)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14208","14.09.10","3","Do Depósito Administrativo (arts. 189 e 190 do RPTA-MG)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11976","09.03.01.05","4","Do Diferimento (art. 10 da Lei Estadual nº 7.000/2001)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17972","15.45.06","3","Do Diferimento (arts. 666 a 669 do RICMS-PA)"
